openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,trades,takerBaseAssetVolume,takerQuoteAssetVolume,ignored
1506405600000,3865.00000000,3890.00000000,3851.00000000,3870.00000000,24.40819800,1506409199999,94475.80490885,345,11.50289600,44580.28059927,8387.55861357
1506409200000,3880.00000000,3940.00000000,3870.00000000,3925.00000000,16.11355600,1506412799999,62837.10220483,345,7.39279400,28869.14657720,8397.27040397
1506412800000,3925.00000000,3937.98000000,3888.28000000,3913.00000000,27.04788700,1506416399999,105946.60376729,422,14.59783500,57270.09499975,8368.99186907
1506416400000,3910.00000000,3926.00000000,3888.28000000,3892.61000000,20.48409300,1506419999999,79948.01257933,360,6.99576900,27364.85849899,8403.29438210
1506420000000,3908.00000000,3944.95000000,3903.51000000,3937.00000000,20.49304300,1506423599999,80613.42257609,367,8.36475800,32937.30426291,8434.02300121
1506423600000,3937.00000000,3949.92000000,3928.34000000,3949.45000000,7.02332200,1506427199999,27661.94263286,257,2.70088900,10648.85553047,8467.70689417
1506427200000,3950.00000000,3976.99000000,3930.01000000,3941.00000000,16.43693600,1506430799999,65085.77271016,249,6.14033600,24357.45076898,8539.53290651
1506430800000,3941.00000000,3950.00000000,3928.33000000,3928.33000000,7.75344400,1506434399999,30537.40440660,152,1.83036100,7220.16346880,8531.03776522
1506434400000,3933.66000000,3954.98000000,3910.03000000,3910.29000000,14.96410100,1506437999999,58869.19858265,182,5.95600800,23497.16495102,8510.60600663
1506438000000,3948.91000000,3949.84000000,3892.51000000,3920.00000000,14.64635100,1506441599999,57442.80752981,239,3.46095600,13637.88769030,8496.39121480
1506441600000,3925.00000000,3939.99000000,3890.98000000,3897.00000000,19.75920700,1506445199999,77362.47714788,387,8.44085100,33070.44867099,8508.86234416
1506445200000,3897.00000000,3927.18000000,3890.98000000,3891.03000000,5.84926600,1506448799999,22870.10823735,187,2.12516700,8332.08794174,8554.15824219
1506448800000,3891.03000000,3920.00000000,3890.98000000,3900.00000000,4.76465000,1506452399999,18580.82219829,148,3.32139100,12954.84142272,8632.33153232
1506452400000,3900.02000000,3925.00000000,3900.02000000,3906.13000000,9.71459400,1506455999999,37955.64248136,159,3.43009300,13405.86924233,8647.64095393
1506456000000,3911.06000000,3927.00000000,3880.00000000,3888.70000000,21.74586100,1506459599999,84887.93351508,329,6.30602000,24679.86910531,8654.18659000
1506459600000,3918.99000000,3935.00000000,3888.69000000,3930.00000000,14.48647600,1506463199999,56879.73692659,264,10.31482700,40533.18902929,8640.79328937
1506463200000,3929.00000000,3934.90000000,3888.67000000,3904.97000000,44.32453200,1506466799999,173207.36893083,411,23.15297800,90652.58416099,8775.31849535
1506466800000,3892.26000000,3910.00000000,3882.35000000,3882.35000000,26.93403800,1506470399999,104843.02635459,417,3.47333700,13567.85058107,8870.39452351
1506470400000,3882.36000000,3910.00000000,3872.81000000,3901.00000000,10.57701800,1506473999999,41110.57346437,195,2.24212800,8735.46432978,8885.41827913
1506474000000,3901.00000000,3927.17000000,3901.00000000,3920.00000000,14.71917200,1506477599999,57594.95019340,246,4.22412400,16567.34283632,8955.14088384
1506477600000,3920.00000000,3934.90000000,3900.00000000,3910.01000000,16.26160700,1506481199999,63663.67584345,237,7.86671500,30851.39659268,9049.72414829
1506481200000,3925.04000000,3973.00000000,3910.02000000,3947.00000000,26.34625900,1506484799999,103921.17516248,331,12.52561200,49519.87429192,9088.83688987
1506484800000,3931.00000000,3964.99000000,3930.00000000,3940.00000000,9.98076500,1506488399999,39395.54664550,253,5.07333500,20049.27485191,9110.52253495
1506488400000,3940.00000000,3960.00000000,3930.00000000,3945.00000000,8.58417900,1506491999999,33874.75107392,172,2.12458100,8407.60180300,9159.93574867
1506492000000,3950.00000000,3960.00000000,3930.00000000,3950.00000000,11.93786200,1506495599999,47097.33267526,177,4.04678500,15999.90057353,9263.90112552
1506495600000,3949.00000000,3968.00000000,3932.00000000,3968.00000000,15.75986800,1506499199999,62315.08581236,229,8.14261100,32234.45665471,9324.69386565
